publication,year,wordRate,wordCount,flatRate,totalPaid,paymentDifficulty,daysToBePaid,storyType,levelOfReporting,relationship,rights,platform,contract,comment
The Billfold,2017,0.03,1600.0,False,48.0,2.0,Not Yet,News,Medium,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2017,0.05,800.0,False,40.0,1.0,,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Publication only pays $40 an article! Did not write as, once you divide it by your time, that's below minimum wage in the state where I live."""
The Billfold,2017,0.04,1000.0,False,40.0,1.0,60,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2017,0.05,865.0,False,43.25,1.0,90,Opinion,,,Unknown/Other,Digital,,
The Billfold,2017,0.02,1759.0,False,35.18,2.0,60,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,"""They pay a flat $40 rate per piece. Originally I was told I would be mailed a check but they recently switched to Paypal."""
The Billfold,2017,0.04,1000.0,False,40.0,1.0,30,Opinion,Light,Ongoing,Unknown/Other,Digital,No,
The Billfold,2016,0.03,1000.0,False,30.0,2.0,>90,,Light,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2016,0.04,1000.0,False,40.0,2.0,30,Opinion,Light,Ongoing,First,Digital,No,
The Billfold,2016,0.02,1800.0,False,36.0,2.0,Not Yet,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2016,0.02,1300.0,False,26.0,2.0,90,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2016,0.04,1000.0,False,40.0,2.0,Not Yet,Opinion,Light,Cold Pitch,First,Digital,Verbal,"""Super easy to work with, good communication, helpful editorial suggestions"""
The Billfold,2016,0.03,800.0,False,24.0,2.0,60,Criticism,Light,Cold Pitch,Unknown/Other,Digital,Verbal,
The Billfold,2016,0.05,600.0,False,30.0,1.0,90,Feature,Light,Ongoing,Unknown/Other,Digital,No,
The Billfold,2016,0.04,800.0,False,32.0,2.0,60,Opinion,Light,Cold Pitch,Unknown/Other,Digital,,"""Editing is fast and positive, but the pay is a pittance. You're expected to source your own images."""
The Billfold,2016,0.03,1100.0,False,33.0,3.0,15,,,,First,Digital,,
The Billfold,2016,0.03,750.0,False,22.5,4.0,>90,Opinion,Light,Solicited Pitch,First,Digital,No,"""I did eventually get paid, but it took over a year and several times of following up."""
The Billfold,2016,0.04,800.0,False,32.0,2.0,>90,Opinion,Light,Assignment,First,Digital,No,
The Billfold,2016,0.04,800.0,False,32.0,1.0,42,Opinion,Light,Cold Pitch,First,Digital,No,
The Billfold,2016,0.03,1000.0,False,30.0,1.0,90,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,No,
The Billfold,2015,0.02,1500.0,False,30.0,,,Feature,Light,Cold Pitch,All,Digital,Verbal,
The Billfold,2014,0.0,3000.0,False,0.0,,,Profile,Light,Cold Pitch,,Digital,No,"""It's no longer true that The Billfold doesn't have the money to pay contributors. They pay some contributors sometimes. """
The Billfold,2014,0.02,1500.0,False,30.0,,,Opinion,Light,Spec,First,Digital,No,
The Billfold,2014,0.03,750.0,False,22.5,,,Opinion,Light,Cold Pitch,First,Digital,No,"""No payment offered; I asked, they said yes but no amount given.  Check showed up unannounced."""
The Billfold,2013,,,,,,,,,,,,,
Fastcompany.com,2017,0.5,800.0,False,400.0,4.0,90,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Verbal,
Casinopedia,2018,0.02,350.0,False,7.0,5.0,Not Yet,News,Medium,Assignment,All,Digital,No,"""Client owes for around 70 pieces, used to pay on time at end of month but has ceased to settle invoices and no longer responds to emails"""
Transitions Abroad,2014,0.07,1500.0,False,105.00000000000001,,,FoB,Light,Spec,First,Digital,Yes,"""The editor responded very promptly, and Transitions Abroad does not publish before full payment."""
Cloudtweaks.com,2015,0.27,750.0,False,202.5,,,Opinion,Medium,Ongoing,All,Digital,No,"""This was a fairly straight forward assignment with 3-5 hours of research and writing. Quick pay which is no longer than 14 days or when article is published which could be a few days. Must have good experience in the field of technology to be considered though."""
Roads & Kingdoms,2018,0.2,5000.0,False,1000.0,2.0,30,Feature,Heavy,,First,Digital,,
Roads & Kingdoms,2018,0.12,2500.0,False,300.0,1.0,30,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,
Roads & Kingdoms,2017,0.05,500.0,False,25.0,2.0,30,FoB,Light,Cold Pitch,Unknown/Other,Digital,No,
Roads & Kingdoms,2017,0.04,600.0,False,24.0,1.0,42,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,
Roads & Kingdoms,2017,0.08,1849.0,False,147.92000000000002,1.0,15,Feature,Medium,Cold Pitch,First,Digital,No,
Roads & Kingdoms,2016,0.05,500.0,False,25.0,1.0,15,Feature,Light,Ongoing,All,Digital,No,
Roads & Kingdoms,2016,0.05,500.0,False,25.0,1.0,15,FoB,Light,Ongoing,First,Digital,No,
Roads & Kingdoms,2016,0.15,1000.0,False,150.0,1.0,15,Feature,Medium,Cold Pitch,First,Digital,No,
Roads & Kingdoms,2016,0.13,2000.0,False,260.0,1.0,15,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
Roads & Kingdoms,2015,0.1,1500.0,False,150.0,,,Feature,Heavy,Ongoing,,Digital,Verbal,
Gulf Coast Magazine,2018,0.2,2500.0,False,500.0,1.0,15,Criticism,Medium,Assignment,First,Print,Yes,
Gulf Coast Magazine,2013,,,,,,,,,,,,,
Pcma Convene,2018,0.44,900.0,False,396.0,1.0,30,,Medium,Referral,Unknown/Other,Print,No,
Gradient,2016,0.06,1275.0,False,76.5,1.0,Not Yet,,,,Unknown/Other,Digital,,
Nme,2015,0.25,1500.0,False,375.0,,,Profile,,,,Print,,
Departures,2016,0.29,3500.0,False,1014.9999999999999,1.0,15,Feature,Medium,Referral,Unknown/Other,Digital,Yes,"""My editor there is so, so wonderful. The best edits I've maybe ever received. The process of getting it published was long and onerous, but this was reflected in the quality of the final piece."""
Departures,2013,0.42,300.0,False,126.0,,,Blog,,,,,,
Departures,2013,0.62,1300.0,False,806.0,,,,,,,,,
El Español,2017,0.09,1200.0,False,108.0,1.0,42,Opinion,,Ongoing,Unknown/Other,Digital,No,
Networkworld,2016,1.0,1500.0,False,1500.0,2.0,,Feature,Heavy,Referral,All,Digital,Verbal,
Parentmap,2018,0.0,1000.0,False,0.0,,,Feature,,Cold Pitch,First,Print,No,"""Kept asking follow-up questions about the pitch. After a month of this, I asked said I was happy to get more info but would like some idea of what their pay range was, etc. She immediately rejected the story. Turns out they don't pay!"""
Style Weekly,2018,0.25,1000.0,False,250.0,1.0,15,Feature,Light,Cold Pitch,First,Digital,Yes,
Ars Technica,2018,0.34,2600.0,False,884.0000000000001,1.0,30,Feature,Heavy,Ongoing,Unknown/Other,Digital,Yes,
Ars Technica,2017,0.17,1200.0,False,204.00000000000003,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,,
Ars Technica,2016,0.3,3600.0,False,1080.0,1.0,30,Feature,Medium,Cold Pitch,First,Digital,Yes,
Ars Technica,2016,0.4,1000.0,False,400.0,4.0,Not Yet,News,Medium,Cold Pitch,Unknown/Other,Digital,,
Brain Mill Press - Voices,2018,0.05,2000.0,False,100.0,1.0,15,Opinion,Light,Cold Pitch,First,Digital,Yes,"""Payment usually on the day of publication; editor was very lovely and I negotiated up from a flat rate of $75 for 1000-1500 word essay."""
Brain Mill Press - Voices,2018,0.04,2000.0,False,80.0,1.0,15,Opinion,Light,Cold Pitch,First,Digital,Yes,"""I was paid the same day the essay ran."""
Fiftyisthenewfifty.com,2015,0.05,750.0,False,37.5,,,FoB,Light,,First,Digital,Verbal,
Asweatlife,2018,0.06,800.0,False,48.0,2.0,Not Yet,FoB,Light,Cold Pitch,All,Digital,Yes,
Moneywise,2018,0.63,800.0,False,504.0,1.0,30,Blog,Light,Ongoing,Unknown/Other,Digital,Yes,
Additude,2017,0.22,579.0,False,127.38,1.0,15,Blog,Light,Cold Pitch,First,Digital,Yes,"""Editor was fantastic to work with, liked the post so much he commissioned a larger piece but went on and paid for the blog immediately anyway. Check received less than 2 weeks after invoice submittal."""
Additude,2017,0.21,972.0,False,204.12,2.0,60,Opinion,Light,Ongoing,All,Print,Yes,"""Piece went through one round of edits. Editor made minor changes before publication without telling me."""
The Hairpin,2017,0.0,1000.0,False,0.0,,,Profile,Medium,Cold Pitch,Unknown/Other,Digital,,
The Hairpin,2017,0.59,169.0,False,99.71,1.0,90,,Light,Cold Pitch,Unknown/Other,Digital,Yes,
The Hairpin,2016,0.35,500.0,False,175.0,1.0,30,Blog,Light,,First,Print,Verbal,"""Also created spot illustrations for this piece."""
The Hairpin,2015,0.2,750.0,False,150.0,,,Profile,Light,Cold Pitch,All,Digital,No,
The Hairpin,2014,0.0,1500.0,False,0.0,,,Criticism,Medium,Ongoing,Unknown/Other,Digital,No,"""Have published 12+ pieces with The Hairpin since 2011. No payment was mentioned. I was approached by a multimedia company that wanted to buy reprint rights for a piece, though, which was fine with The Hairpin's editor. """
The Hairpin,2014,0.07,1500.0,False,105.00000000000001,,,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,Verbal,
The Hairpin,2014,0.0,750.0,False,0.0,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,No,
The Hairpin,2014,0.2,1500.0,False,300.0,,,Criticism,Medium,Ongoing,First,Digital,Yes,"""Written for the Hairpin on multiple occasions, but this was the first piece with the new editor. First time I was paid. """
The Hairpin,2013,,,,,,,,,,,Digital,,
Live Happy,2015,0.5,750.0,False,375.0,,,FoB,Medium,Cold Pitch,Unknown/Other,Print,Yes,"""Pay delivered within 60 days after a few nudges."""
Pollstar,2018,0.13,750.0,False,97.5,3.0,42,News,Medium,Solicited Pitch,All,Digital,Yes,"""way lower than what I usually get paid. they’ve gotta do better."""
Cengage/gale,2016,,3000.0,,,,,,Light,,Secondary,Print,Yes,"""Reprint request from an educational publishing company. Negotiated the rate up from an initial offer of $400."""
Kenyon Review,2013,0.07,1500.0,False,105.00000000000001,,,Opinion,,,,Digital,,
San Francisco Examiner,2014,0.2,375.0,False,75.0,,,News,Medium,Ongoing,,Digital,Yes,"""Freelancers were just informed of a pay cut. Writers that were previously compensated at a rate of $100 per article are now being paid $75 per article."""
San Francisco Examiner,2013,0.27,375.0,False,101.25,,,FoB,Medium,Ongoing,First,Digital,Yes,"""They say payment terms are net 30 in the contract, but invoicing is done every 30 days, and checks arrive between 45-60 days after an invoice is sent. It is as painful as it sounds.

Sunday feature stories 600-700 words pay $200. And $25 extra for a single photograph for a story.

Good editors. Some of whom will teach. """
Runner Click,2017,0.01,2500.0,False,25.0,5.0,Not Yet,Criticism,Medium,Assignment,All,Digital,Yes,
Food 52,2017,0.2,750.0,False,150.0,1.0,30,Feature,Medium,Cold Pitch,All,Digital,Yes,
Flaunt Magazine,2015,0.04,750.0,False,30.0,,,Profile,Medium,Assignment,All,Digital,Verbal,"""I have still not been paid for this assignment, as of 01/16/2015"""
Flaunt Magazine,2015,0.0,1500.0,False,0.0,,,Profile,Medium,Assignment,,Digital,No,"""When I asked about compensation, FLAUNT said they ""cannot afford to pay their writers at this time,"" despite it being a 15-year old publication. """
Locale Magazine,2018,0.0,1500.0,False,0.0,,,Feature,Light,Assignment,All,Print,No,
Locale Magazine,2018,0.0,750.0,False,0.0,,,Profile,Medium,Assignment,All,Print,No,"""They are very unprofessional."""
Locale Magazine,2018,0.0,750.0,False,0.0,,,Profile,Medium,Assignment,All,Print,No,"""They are very unprofessional."""
Locale Magazine,2018,0.0,500.0,False,0.0,,,Profile,Medium,Assignment,First,Digital,No,
Locale Magazine,2018,0.0,700.0,False,0.0,,,Profile,Medium,Assignment,First,Print,No,
Locale Magazine,2017,0.0,750.0,False,0.0,,,Opinion,Medium,Assignment,First,Print,Yes,
Mode Media,2016,0.12,250.0,False,30.0,4.0,90,Opinion,,,All,Digital,,
Reorient Magazine,2016,0.0,2300.0,False,0.0,,,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,
Co.design,2013,0.18,750.0,False,135.0,,,Criticism,Medium,Solicited Pitch,Unknown/Other,Digital,No,
Montecristo Magazine,2018,0.08,100.0,False,8.0,1.0,30,,,,First,Digital,,
Montecristo Magazine,2018,0.1,500.0,False,50.0,1.0,Not Yet,,,,Unknown/Other,,,
Montecristo Magazine,2017,0.07,800.0,False,56.00000000000001,2.0,30,Feature,Medium,Assignment,Unknown/Other,Digital,Yes,
Ceilings And Standards,2017,0.04,1200.0,False,48.0,1.0,15,Opinion,Light,Cold Pitch,All,Digital,No,"""Editor was a pleasure to work with. Responded to all my queries promptly and actually payed me BEFORE my piece went up"""
Invision,2018,0.13,1200.0,False,156.0,1.0,30,Opinion,Light,Ongoing,First,Digital,No,
Indiewire,2016,0.03,2850.0,False,85.5,1.0,30,Feature,Light,Ongoing,All,Digital,No,
Indiewire,2016,0.08,1980.0,False,158.4,1.0,30,Feature,Light,Assignment,All,Digital,No,
Indiewire,2013,,,True,175.0,,,News,,,,Digital,,
Indiewire,2013,0.28,900.0,False,252.00000000000003,,,Feature,,,,Digital,,
National Education Association - Travel Newsletter,2018,0.4,750.0,False,300.0,1.0,15,Feature,Medium,Solicited Pitch,All,Digital,Yes,"""I had an amazing experience working with this publication. I received payment within days of submitting the piece, and the project editor was great to work with and responded in a timely manner to all my emails."""
Fuse.tv,2013,0.36,700.0,False,252.0,,,,,,,,,
Eating Well,2018,1.0,300.0,False,300.0,1.0,30,Profile,Medium,Cold Pitch,All,Print,Yes,"""Editor was wonderful to work with."""
Islands Magazine,2017,2.0,1500.0,False,3000.0,3.0,30,Feature,Heavy,Ongoing,First,Print,Yes,
Colors Berlin,2017,0.08,300.0,False,24.0,1.0,60,Blog,Light,Cold Pitch,Unknown/Other,Digital,No,"""Woops - sorry, meant 25 euros not dollars. So 26.64 dollars"""
Neo.life,2018,0.53,1700.0,False,901.0,1.0,30,Feature,Medium,Assignment,All,Digital,Yes,
Hour Detroit,2018,0.5,1500.0,False,750.0,2.0,42,Feature,Medium,Assignment,Unknown/Other,Digital,Verbal,"""Editors were great to work with for this piece. I'd definitely recommend writing for them."""
Tonic (Vice),2018,0.3,1000.0,False,300.0,1.0,42,Opinion,Medium,Ongoing,All,Digital,Yes,
Tonic (Vice),2018,0.3,1000.0,False,300.0,4.0,42,Feature,Medium,Ongoing,Unknown/Other,Digital,No,"""As with many VICE verticals, payment timeframes are irregular. Some Tonic stories get published without editing or notification. They publish quickly."""
Tonic (Vice),2017,0.25,1000.0,False,250.0,2.0,42,News,Medium,Ongoing,Unknown/Other,Digital,Yes,
Tonic (Vice),2017,0.25,1000.0,False,250.0,3.0,60,Opinion,Medium,Cold Pitch,First,Digital,Yes,
Tonic (Vice),2017,0.3,1012.0,False,303.59999999999997,1.0,30,Feature,Medium,Cold Pitch,First,Digital,Yes,"""Editor did not share changes prior to publication. In addition to standard 1st run rates, takes 2 year exclusivity."""
Tonic (Vice),2017,0.25,1200.0,False,300.0,1.0,15,Feature,Medium,Cold Pitch,All,Digital,Yes,
Tonic (Vice),2017,0.32,931.0,False,297.92,2.0,42,,,,Unknown/Other,Digital,,
Tonic (Vice),2017,0.26,974.0,False,253.24,1.0,15,Feature,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Tonic (Vice),2017,0.23,1100.0,False,253.0,3.0,Not Yet,News,Medium,Cold Pitch,Unknown/Other,Digital,Yes,
Hinduism Today,2017,0.2,2000.0,False,400.0,1.0,15,Feature,Medium,Assignment,First,Digital,Yes,
Grammarly Blog,2017,0.03,800.0,False,24.0,2.0,15,,,,All,Digital,,
Artforum,2017,0.2,250.0,False,50.0,2.0,15,Criticism,Medium,Referral,All,Digital,No,
Artforum,2017,0.38,800.0,False,304.0,1.0,42,Criticism,Medium,Ongoing,All,Print,No,
Artforum,2017,0.33,598.0,False,197.34,1.0,30,Criticism,Medium,Referral,Unknown/Other,Digital,No,
Artforum,2014,0.4,125.0,False,50.0,,,Criticism,Medium,Ongoing,All,Digital,No,
Artforum,2013,,,True,50.0,,,,,,,Digital,,"""Critic's Picks"""
Artforum,2013,0.4,500.0,False,200.0,,,Criticism,,,,Print,,
Artforum,2013,0.2,250.0,False,50.0,,,,,,,Digital,,"""critics' picks"""
Artforum,2013,0.36,550.0,False,198.0,,,Criticism,,,,,,
The Daily Dot,2018,0.15,1000.0,False,150.0,1.0,15,Feature,Medium,Cold Pitch,First,Digital,No,"""DD is a supremely amazing company to freelance for. I've been a freelance writer for 5 years and The Daily Dot tops the chart in terms of communication, speed of payment, and satisfaction of the edits. They even have a little weekly award called The Dotties where the editors send out a newsletter of their favorite stories of the week."""
The Daily Dot,2016,0.11,1200.0,False,132.0,1.0,30,Opinion,Light,Ongoing,First,Digital,Yes,
Business Insurance,2018,0.85,900.0,False,765.0,1.0,15,Feature,Medium,Assignment,Unknown/Other,Digital,Yes,
Bookforum,2017,0.08,1000.0,False,80.0,2.0,15,Criticism,Light,Ongoing,First,Digital,No,
Bookforum,2013,0.11,750.0,False,82.5,,,Criticism,Medium,Solicited Pitch,Unknown/Other,Digital,No,"""Paid very promptly, virtually immediately after I submitted my W-9"""
Bookforum,2013,0.32,2500.0,False,800.0,,,Criticism,,,,Print,,
Bookforum,2012,,,True,80.0,,,,,,,Digital,,
Bookforum,2012,,,True,40.0,,,,,,,,,
Bookforum,2012,,,True,150.0,,,Criticism,,,,Print,,
Askmen.com,2018,0.0,1000.0,False,0.0,,,Feature,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Was supposed to be paid $350, but have had to report them to NY city government under Freelance Isn't Free for non-payment. Work done & invoiced in June. This is December. Still don't have my money & they keep changing contact (5 different people!) and asking I resend the invoice & submit tax paperwork, etc over & over again. Not to mention the editor said he loved my piece then a month later asked I COMPLETELY rewrite it because of changes on his end. These people suck."""
Askmen.com,2016,0.19,800.0,False,152.0,1.0,30,,,,First,Digital,,
Askmen.com,2013,0.1,1000.0,False,100.0,,,Opinion,,,,,,
Aps News,2016,1.0,1000.0,False,1000.0,1.0,30,Feature,Medium,Ongoing,Unknown/Other,Digital,Yes,
New York Observer,2017,0.04,1114.0,False,44.56,2.0,30,Opinion,Medium,Ongoing,First,Digital,Yes,
New York Observer,2016,0.5,1200.0,False,600.0,2.0,30,,,,Unknown/Other,Digital,,
New York Observer,2016,0.47,750.0,False,352.5,2.0,30,News,Medium,Cold Pitch,Unknown/Other,Digital,,
New York Observer,2015,0.47,750.0,False,352.5,,,FoB,Medium,Cold Pitch,,Digital,Verbal,"""I wrote the piece - just published, not yet paid - without a contract, which they sent me after it appeared, when I went to invoice. I am told I'll be paid within 45 days of the pub date. This was for a 700 word piece for their front-of-the-book ""Transom"" section."""
New York Observer,2012,0.28,1800.0,False,504.00000000000006,,,Feature,,,,,,
High Times,2016,0.4,750.0,False,300.0,1.0,30,Opinion,Medium,Referral,Unknown/Other,Print,Yes,
Luxe Interiors And Design Magazine,2017,0.5,1000.0,False,500.0,1.0,60,FoB,Medium,Ongoing,All,Digital,Yes,
Luxe Interiors And Design Magazine,2017,0.47,1075.0,False,505.24999999999994,2.0,60,Profile,Medium,Referral,All,Print,Yes,
Murietalifestyles.com,2015,0.03,750.0,False,22.5,,,News,Light,Cold Pitch,Secondary,Digital,No,
Reset.me,2016,0.29,1200.0,False,348.0,1.0,15,Blog,Medium,Referral,Unknown/Other,Digital,No,
Reset.me,2016,0.23,1300.0,False,299.0,3.0,42,News,Heavy,Solicited Pitch,First,Digital,No,"""Editor not very responsive, in different time zone apparently, but edits were great, very helpful."""
Reset.me,2015,0.03,3000.0,False,90.0,,,Profile,Heavy,Cold Pitch,First,Digital,No,"""Paid quickly, delay in publishing, was assigned new editor."""
Businessweek,2017,1.25,600.0,False,750.0,1.0,30,FoB,Medium,Ongoing,Unknown/Other,Print,No,
Businessweek,2015,0.08,3000.0,False,240.0,,,Feature,Heavy,Cold Pitch,All,Print,Yes,"""Editor accepted pitch, offering $2.50/word for a 2,500 word feature. Accepted story, then killed it. Another editor there asked for a reworked version of 1,000 words and then never responded. Was ultimately paid a kill fee for the shorter piece. A miserable experience."""
Businessweek,2013,1.75,1000.0,False,1750.0,,,Feature,,,,Print,,
Good Housekeeping,2018,0.13,1200.0,False,156.0,5.0,Not Yet,Feature,Light,Cold Pitch,First,Digital,Yes,"""They offered a pre-paid Visa card and put no $ on it. When contacted, they said they were looking into it but didn't respond to follow-ups. That was three months ago."""
The Raddington Report,2017,0.03,1500.0,False,45.0,1.0,Not Yet,,,,All,Digital,,
The Raddington Report,2017,0.0,800.0,False,0.0,,,Feature,Medium,Solicited Pitch,First,Digital,Yes,"""The outlet refuses to pay its writers and editors."""
For Her By Aleteia,2016,0.2,1000.0,False,200.0,1.0,42,Feature,Medium,Ongoing,All,Digital,Verbal,
Emusic,2013,,,,,,,,,,,Digital,,
Splice Today,2017,0.04,1000.0,False,40.0,1.0,15,Opinion,Medium,Cold Pitch,Unknown/Other,Digital,No,
Splice Today,2015,0.1,750.0,False,75.0,,,Opinion,Light,Cold Pitch,,Digital,No,
Relevant Magazine,2017,0.2,1000.0,False,200.0,2.0,60,Profile,Medium,Ongoing,All,Digital,Verbal,"""They only pay for print pieces, not online-only pieces."""
Relevant Magazine,2013,,,,,,,,,,,Digital,,
Worldatlas.com,2017,0.01,500.0,False,5.0,1.0,15,,Medium,Cold Pitch,Unknown/Other,Digital,No,"""Site also has 1000 word, $10 articles. They give out articles to select but sometimes choice is scarce. You can submit article ideas to the site and they will let you do them if accepted. Biggest problem is publication, it can take weeks for your article to get published (although you do get paid for them even if they are not yet published)."""
Porter & Sail,2018,0.37,270.0,False,99.9,5.0,Not Yet,Profile,Medium,,All,Digital,Yes,"""Still waiting for payment after 100 days even though contract stated payment would be within 60 days. Had many promises but nothing yet. Heard many others had same problem."""
Porter & Sail,2018,0.59,170.0,False,100.3,5.0,Not Yet,Profile,Medium,,All,Digital,Yes,"""Contract stated payment would be within 60 days (which is already a long time for a freelancer to wait) but still no payment after more than 90 days."""
Porter & Sail,2018,0.83,120.0,False,99.6,5.0,Not Yet,Criticism,Medium,Assignment,All,Digital,Yes,"""The contract between Porter & Sail and me states that payment will be made within 60 days. It's now 78 days and I have not received a cent. They also ignored my email reminder."""
Porter & Sail,2017,1.0,1000.0,False,1000.0,5.0,Not Yet,Blog,Medium,Referral,All,Digital,Yes,
Fugue,2013,,,True,30.0,,,Opinion,,,,Print,,
Love2fly,2018,0.2,500.0,False,100.0,2.0,42,,,,Unknown/Other,Digital,,
Love2fly,2018,0.13,800.0,False,104.0,5.0,Not Yet,Blog,Light,Referral,All,Digital,Yes,
Washington Post Express,2018,0.15,600.0,False,90.0,1.0,30,Feature,Light,Ongoing,Unknown/Other,Digital,Yes,
Washington Post Express,2013,0.2,750.0,False,150.0,,,Profile,Medium,Spec,First,Digital,Yes,
Scientific American,2016,1.5,3000.0,False,4500.0,1.0,15,Feature,Heavy,Ongoing,First,Print,Yes,
Scientific American,2014,0.0,750.0,False,0.0,,,Opinion,Medium,Spec,First,Digital,Yes,
Scientific American,2013,,,,,,,,,,,Print,,"""rate ""can rise"""""
Scientific American,2013,,,,,,,,,,,,,
Scientific American,2013,,,True,450.0,,,,,,,Digital,,"""rate ""can rise"""""
Yellowstone Valley Woman Magazine,2017,0.25,900.0,False,225.0,1.0,15,,,,All,Digital,,
Psychedelic Times,2017,0.04,2000.0,False,80.0,1.0,15,News,Medium,Ongoing,First,Digital,No,"""Single-interview Q/A. Good editors, site is still growing."""
Psychedelic Times,2017,0.08,600.0,False,48.0,1.0,15,News,Medium,Solicited Pitch,First,Digital,No,
Upworthy,2016,0.27,750.0,False,202.5,,,Profile,Medium,Cold Pitch,All,Digital,Yes,"""$150 flat fee, $50 bonus if the article is posted on Upworthy's Facebook page, additional bonuses with high page views"""
Upworthy,2015,0.33,750.0,False,247.5,,,,Heavy,Cold Pitch,First,Digital,Yes,"""Pay was originally $200 (based on the hits/views the article received 1 week after it was published.) $50 was for the article being chosen by Upworthy to share on their FB page. Payment received within a month after publication."""
The Morning News,2016,0.07,2100.0,False,147.0,1.0,15,News,Heavy,Cold Pitch,First,Digital,Yes,"""They also paid travel expenses."""
The Morning News,2014,0.05,3000.0,False,150.0,,,Opinion,Medium,Solicited Pitch,First,Digital,Yes,
The Morning News,2014,0.03,1500.0,False,45.0,,,Opinion,Light,Spec,First,Digital,Yes,
The Morning News,2014,,,True,50.0,,,,,,,,,"""Flat rate for 'one time contributers'"""
The Morning News,2013,,,True,150.0,,,Opinion,,,,,,
The Morning News,2013,,,True,50.0,,,,,,,,,
Richmond Magazine,2018,0.3,789.0,False,236.7,1.0,15,Feature,Light,Cold Pitch,First,Digital,Yes,
Takepart,2016,0.75,3000.0,False,2250.0,2.0,42,Feature,Medium,Ongoing,All,Digital,Yes,
Boston Globe,2018,0.44,800.0,False,352.0,2.0,42,,Medium,Cold Pitch,First,Digital,Yes,
Boston Globe,2016,0.63,1200.0,False,756.0,2.0,60,Feature,Medium,Cold Pitch,First,Digital,Yes,
Boston Globe,2015,0.1,750.0,False,75.0,,,Opinion,Light,Cold Pitch,First,Digital,No,"""Submitted to print op-ed, initially rejected, picked up for on-line only."""
Boston Globe,2015,0.4,1500.0,False,600.0,,,Feature,Medium,Ongoing,First,Digital,Verbal,"""Newspaper Sunday section pays 50 cents a word up to $750 for anything from personal essays to heavily reported news analysis. """
Boston Globe,2013,0.43,700.0,False,301.0,,,Criticism,,,,Print,,
Leader's Edge Magazine,2014,0.7,3000.0,False,2100.0,,,Feature,Medium,Ongoing,First,Digital,No,"""Editor was once a free lance writer, so he treats his writers well. Pays within 30 days of submission. Payment not based on publication date. $2,100 for approx. 2,000 words. $4,000 for investigative pieces. """
Los Angeles Times,2017,0.35,1700.0,False,595.0,1.0,15,,,,Unknown/Other,Digital,,
Los Angeles Times,2015,0.2,750.0,False,150.0,,,Opinion,Light,Cold Pitch,First,Digital,No,"""Did not ask rate before publication (glad to have the opinion published, paid or unpaid, although I expected there would be payment.) Inquired after and was told $150. Paid promptly, after filling out paperwork."""
Los Angeles Times,2014,0.1,1500.0,False,150.0,,,Opinion,Medium,Spec,First,Digital,Yes,"""We submitted the op-ed about 10 days ahead of our target publication date; heard back within 2 days; had some back and forth to address the editor's concerns; spent a little time in limbo as to exact run date and length. In the end, the piece ran at its original length, over 1,000, words, long for an op-ed. We got paid right away. Very positive experience."""
Los Angeles Times,2014,0.53,1500.0,False,795.0,,,Profile,Medium,Ongoing,First,Print,No,"""$.50/word"""
Los Angeles Times,2013,0.44,900.0,False,396.0,,,Criticism,,,,,,
Los Angeles Times,2013,,,True,200.0,,,Opinion,,,,,,
Los Angeles Times,2013,,,,,,,,,,,Print,,
Bedsider,2014,0.13,1500.0,False,195.0,,,Opinion,Light,Cold Pitch,Unknown/Other,Digital,Verbal,"""Editor was a gem to work with. Welcomed another cold pitch a few months later."""
This Magazine (canada),2017,0.1,2000.0,False,200.0,3.0,Not Yet,Feature,Heavy,Cold Pitch,Unknown/Other,Digital,Yes,"""Editor was a pleasure to work with. Very clear that payment takes 6 months after publication so I knew what I was getting into. Great feedback and paid close attention to the piece without being overbearing. Only drawback is the amount of pay for the level of work."""
This Magazine (canada),2017,0.05,1200.0,False,60.0,4.0,>90,Opinion,Medium,Solicited Pitch,First,Digital,Yes,
This Magazine (canada),2017,0.05,1200.0,False,60.0,3.0,>90,Opinion,Light,Solicited Pitch,First,Digital,Yes,
This Magazine (canada),2016,0.1,500.0,False,50.0,4.0,>90,FoB,Medium,Solicited Pitch,First,Print,,"""Took almost a year and multiple inquiries to receive payment."""
This Magazine (canada),2013,0.07,3000.0,False,210.00000000000003,,,Feature,,,,,,"""“$300 Canadian. Non-profit, took just over a year from publication to receive payment.”"""
