comment,contract,dollar,flatRate,levelOfReporting,paidYet,paymentDifficulty,platform,publication,relationship,rights,storyType,wordCount,year
"""Kept asking follow-up questions about the pitch. After a month of this, I asked said I was happy to get more info but would like some idea of what their pay range was, etc. She immediately rejected the story. Turns out they don't pay!""",Contract: No,$0.00,False,Cold pitch (no pre-existing relationship),,svg-false,Platform: print,Parentmap,,Rights: First Serial Rights,feature,1000,2018
,Contract: Yes,$0.25,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Style Weekly,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2018
,Contract: Yes,$0.34,False,Heavy/Investigative reporting,Paid in 1 month ,svg-1,Platform: digital,Ars Technica,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,2600,2018
,Contract: ,$0.17,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Ars Technica,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1200,2017
,Contract: Yes,$0.30,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Ars Technica,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,3600,2016
,Contract: ,$0.40,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-4,Platform: digital,Ars Technica,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1000,2016
,Contract: Yes,$0.03,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Onlineunitedstatescasinos.com,Solicited pitch (editor asked you to pitch),Rights: All rights,blog post,1.5,2018
"""Payment usually on the day of publication; editor was very lovely and I negotiated up from a flat rate of $75 for 1000-1500 word essay.""",Contract: Yes,$0.05,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Brain Mill Press - Voices,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",2000,2018
"""I was paid the same day the essay ran.""",Contract: Yes,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Brain Mill Press - Voices,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",2000,2018
,"Contract: Verbal or ""handshake"" agreement",$0.05,False,Little to no reporting,,ng-hide,Platform: digital,Fiftyisthenewfifty.com,Other,Rights: First Serial Rights,fob,~750,2015
,Contract: Yes,$0.06,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-2,Platform: digital,Asweatlife,Cold pitch (no pre-existing relationship),Rights: All rights,fob,800,2018
,Contract: Yes,$0.63,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Moneywise,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,blog post,800,2018
"""Editor was fantastic to work with, liked the post so much he commissioned a larger piece but went on and paid for the blog immediately anyway. Check received less than 2 weeks after invoice submittal.""",Contract: Yes,$0.22,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Additude,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,blog post,579,2017
"""Piece went through one round of edits. Editor made minor changes before publication without telling me.""",Contract: Yes,$0.21,False,Little to no reporting,Paid in 2 months ,svg-2,Platform: print,Additude,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",972,2017
,Contract: ,$0.00,False,Medium reporting,,svg-false,Platform: digital,The Hairpin,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,profile or interview,1000,2017
,Contract: Yes,$0.59,False,Little to no reporting,Paid in 3 months ,svg-1,Platform: digital,The Hairpin,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,other,169,2017
"""Also created spot illustrations for this piece.""","Contract: Verbal or ""handshake"" agreement",$0.35,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: print,The Hairpin,,Rights: First Serial Rights,blog post,500,2016
,Contract: No,$0.20,False,Little to no reporting,,ng-hide,Platform: digital,The Hairpin,Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,~750,2015
"""Have published 12+ pieces with The Hairpin since 2011. No payment was mentioned. I was approached by a multimedia company that wanted to buy reprint rights for a piece, though, which was fine with The Hairpin's editor. """,Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,The Hairpin,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~1500,2014
,"Contract: Verbal or ""handshake"" agreement",$0.07,False,Medium reporting,,ng-hide,Platform: digital,The Hairpin,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~1500,2014
,Contract: No,$0.00,False,Little to no reporting,,ng-hide,Platform: digital,The Hairpin,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",~750,2014
"""Written for the Hairpin on multiple occasions, but this was the first piece with the new editor. First time I was paid. """,Contract: Yes,$0.20,False,Medium reporting,,ng-hide,Platform: digital,The Hairpin,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment converage",~1500,2014
,Contract: ,,,,,ng-hide,Platform: digital,The Hairpin,,Rights: ,,,2013
"""Pay delivered within 60 days after a few nudges.""",Contract: Yes,$0.50,False,Medium reporting,,ng-hide,Platform: print,Live Happy,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,fob,~750,2015
"""way lower than what I usually get paid. they’ve gotta do better.""",Contract: Yes,$0.13,False,Medium reporting,Paid in 6 weeks ,svg-3,Platform: digital,Pollstar,Solicited pitch (editor asked you to pitch),Rights: All rights,news story,750,2018
"""Reprint request from an educational publishing company. Negotiated the rate up from an initial offer of $400.""",Contract: Yes,,,Little to no reporting,,ng-hide,Platform: print,Cengage/gale,Reprint request,Rights: Secondary Rights/Reprint,other,~3000,2016
,Contract: ,$0.07,False,,,ng-hide,Platform: digital,Kenyon Review,,Rights: ,"opinion, editorial, column or essay",1500,2013
"""Freelancers were just informed of a pay cut. Writers that were previously compensated at a rate of $100 per article are now being paid $75 per article.""",Contract: Yes,$0.20,False,Medium reporting,,ng-hide,Platform: digital,San Francisco Examiner,Ongoing/pre-existing relationship with editor or publication,Rights: ,news story,~375,2014
"""They say payment terms are net 30 in the contract, but invoicing is done every 30 days, and checks arrive between 45-60 days after an invoice is sent. It is as painful as it sounds.

Sunday feature stories 600-700 words pay $200. And $25 extra for a single photograph for a story.

Good editors. Some of whom will teach. """,Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,San Francisco Examiner,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,fob,~375,2013
,Contract: Yes,$0.01,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Runner Click,Assignment (editor came to you),Rights: All rights,"criticism, review, or arts/entertainment coverage",2500,2017
,Contract: Yes,$0.20,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Food 52,Cold pitch (no pre-existing relationship),Rights: All rights,feature,750,2017
"""I have still not been paid for this assignment, as of 01/16/2015""","Contract: Verbal or ""handshake"" agreement",$0.04,False,Medium reporting,,ng-hide,Platform: digital,Flaunt Magazine,Assignment (editor came to you),Rights: All rights,profile or interview,~750,2015
"""When I asked about compensation, FLAUNT said they ""cannot afford to pay their writers at this time,"" despite it being a 15-year old publication. """,Contract: No,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Flaunt Magazine,Assignment (editor came to you),Rights: ,profile or interview,~1500,2015
,Contract: No,$0.00,False,Little to no reporting,,svg-false,Platform: print,Locale Magazine,Assignment (editor came to you),Rights: All rights,feature,1500,2018
"""They are very unprofessional.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: print,Locale Magazine,Assignment (editor came to you),Rights: All rights,profile or interview,750,2018
"""They are very unprofessional.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: print,Locale Magazine,Assignment (editor came to you),Rights: All rights,profile or interview,750,2018
,Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Locale Magazine,Assignment (editor came to you),Rights: First Serial Rights,profile or interview,500,2018
,Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: print,Locale Magazine,Assignment (editor came to you),Rights: First Serial Rights,profile or interview,700,2018
,Contract: Yes,$0.00,False,Medium reporting,,svg-false,Platform: print,Locale Magazine,Assignment (editor came to you),Rights: First Serial Rights,"opinion, editorial, column or essay",750,2017
,Contract: ,$0.12,False,,Paid in 3 months ,svg-4,Platform: digital,Mode Media,,Rights: All rights,"opinion, editorial, column or essay",250,2016
,Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Reorient Magazine,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,2300,2016
,Contract: No,$0.18,False,Medium reporting,,ng-hide,Platform: digital,Co.design,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~750,2013
,Contract: ,$0.08,False,,Paid in 1 month ,svg-1,Platform: digital,Montecristo Magazine,,Rights: First Serial Rights,,100-word,2018
,Contract: ,$0.10,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: other,Montecristo Magazine,,Rights: Other / I don't know,,500-word,2018
,Contract: Yes,$0.07,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,Montecristo Magazine,Assignment (editor came to you),Rights: Other / I don't know,feature,800,2017
"""Editor was a pleasure to work with. Responded to all my queries promptly and actually payed me BEFORE my piece went up""",Contract: No,$0.04,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Ceilings And Standards,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2017
,Contract: No,$0.13,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Invision,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2018
,Contract: No,$0.03,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Indiewire,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,2850,2016
,Contract: No,$0.08,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Indiewire,Assignment (editor came to you),Rights: All rights,feature,1980,2016
,Contract: ,$175,True,,,ng-hide,Platform: digital,Indiewire,,Rights: ,, news story,2013
,Contract: ,$0.28,False,,,ng-hide,Platform: digital,Indiewire,,Rights: ,feature,~900,2013
"""I had an amazing experience working with this publication. I received payment within days of submitting the piece, and the project editor was great to work with and responded in a timely manner to all my emails.""",Contract: Yes,$0.40,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,National Education Association - Travel Newsletter,Solicited pitch (editor asked you to pitch),Rights: All rights,feature,750,2018
,Contract: ,$0.36,False,,,ng-hide,,Fuse.tv,,Rights: ,,700-word,2013
"""Editor was wonderful to work with.""",Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Eating Well,Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,300,2018
,Contract: Yes,$2.00,False,Heavy/Investigative reporting,Paid in 1 month ,svg-3,Platform: print,Islands Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,1500,2017
"""Woops - sorry, meant 25 euros not dollars. So 26.64 dollars""",Contract: No,$0.08,False,Little to no reporting,Paid in 2 months ,svg-1,Platform: digital,Colors Berlin,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,blog post,300,2017
,Contract: Yes,$0.53,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Neo.life,Assignment (editor came to you),Rights: All rights,feature,1700,2018
"""Editors were great to work with for this piece. I'd definitely recommend writing for them.""","Contract: Verbal or ""handshake"" agreement",$0.50,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Hour Detroit,Assignment (editor came to you),Rights: Other / I don't know,feature,1500,2018
,Contract: Yes,$0.30,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,Tonic (Vice),Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"opinion, editorial, column or essay",1000,2018
"""As with many VICE verticals, payment timeframes are irregular. Some Tonic stories get published without editing or notification. They publish quickly.""",Contract: No,$0.30,False,Medium reporting,Paid in 6 weeks ,svg-4,Platform: digital,Tonic (Vice),Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1000,2018
,Contract: Yes,$0.25,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Tonic (Vice),Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,news story,1000,2017
,Contract: Yes,$0.25,False,Medium reporting,Paid in 2 months ,svg-3,Platform: digital,Tonic (Vice),Cold pitch (no pre-existing relationship),Rights: First Serial Rights,"opinion, editorial, column or essay",1000,2017
"""Editor did not share changes prior to publication. In addition to standard 1st run rates, takes 2 year exclusivity.""",Contract: Yes,$0.30,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Tonic (Vice),Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1012,2017
,Contract: Yes,$0.25,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Tonic (Vice),Cold pitch (no pre-existing relationship),Rights: All rights,feature,1200,2017
,Contract: ,$0.32,False,,Paid in 6 weeks ,svg-2,Platform: digital,Tonic (Vice),,Rights: Other / I don't know,,931-word,2017
,Contract: Yes,$0.26,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Tonic (Vice),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,974,2017
,Contract: Yes,$0.23,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-3,Platform: digital,Tonic (Vice),Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,1100,2017
,Contract: Yes,$0.20,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Hinduism Today,Assignment (editor came to you),Rights: First Serial Rights,feature,2000,2017
,Contract: ,$0.03,False,,Paid in 15 days ,svg-2,Platform: digital,Grammarly Blog,,Rights: All rights,,800-word,2017
,Contract: No,$0.20,False,Medium reporting,Paid in 15 days ,svg-2,Platform: digital,Artforum,Referral (you had a connection who connected you to the editor),Rights: All rights,"criticism, review, or arts/entertainment coverage",250,2017
,Contract: No,$0.38,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: print,Artforum,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment coverage",800,2017
,Contract: No,$0.33,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Artforum,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"criticism, review, or arts/entertainment coverage",598,2017
,Contract: No,$0.40,False,Medium reporting,,ng-hide,Platform: digital,Artforum,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,"criticism, review, or arts/entertainment converage",~125,2014
"""Critic's Picks""",Contract: ,$50,True,,,ng-hide,Platform: digital,Artforum,,Rights: ,,,2013
,Contract: ,$0.40,False,,,ng-hide,Platform: print,Artforum,,Rights: ,"criticism, review, or arts/entertainment converage",500,2013
"""critics' picks""",Contract: ,$0.20,False,,,ng-hide,Platform: digital,Artforum,,Rights: ,,250-word,2013
,Contract: ,$0.36,False,,,ng-hide,,Artforum,,Rights: ,"criticism, review, or arts/entertainment converage",550,2013
"""DD is a supremely amazing company to freelance for. I've been a freelance writer for 5 years and The Daily Dot tops the chart in terms of communication, speed of payment, and satisfaction of the edits. They even have a little weekly award called The Dotties where the editors send out a newsletter of their favorite stories of the week.""",Contract: No,$0.15,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,The Daily Dot,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1000,2018
,Contract: Yes,$0.11,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,The Daily Dot,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1200,2016
,Contract: Yes,$0.85,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Business Insurance,Assignment (editor came to you),Rights: Other / I don't know,feature,900,2018
,Contract: No,$0.08,False,Little to no reporting,Paid in 15 days ,svg-2,Platform: digital,Bookforum,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"criticism, review, or arts/entertainment coverage",1000,2017
"""Paid very promptly, virtually immediately after I submitted my W-9""",Contract: No,$0.11,False,Medium reporting,,ng-hide,Platform: digital,Bookforum,Solicited pitch (editor asked you to pitch),Rights: Other / I don't know,"criticism, review, or arts/entertainment converage",~750,2013
,Contract: ,$0.32,False,,,ng-hide,Platform: print,Bookforum,,Rights: ,"criticism, review, or arts/entertainment converage",2500,2013
,Contract: ,$80,True,,,ng-hide,Platform: digital,Bookforum,,Rights: ,,,2012
,Contract: ,$40,True,,,ng-hide,,Bookforum,,Rights: ,,,2012
,Contract: ,$150,True,,,ng-hide,Platform: print,Bookforum,,Rights: ,," criticism, review, or arts/entertainment converage",2012
"""Was supposed to be paid $350, but have had to report them to NY city government under Freelance Isn't Free for non-payment. Work done & invoiced in June. This is December. Still don't have my money & they keep changing contact (5 different people!) and asking I resend the invoice & submit tax paperwork, etc over & over again. Not to mention the editor said he loved my piece then a month later asked I COMPLETELY rewrite it because of changes on his end. These people suck.""",Contract: No,$0.00,False,Medium reporting,,svg-false,Platform: digital,Askmen.com,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,feature,1000,2018
,Contract: ,$0.19,False,,Paid in 1 month ,svg-1,Platform: digital,Askmen.com,,Rights: First Serial Rights,,800-word,2016
,Contract: ,$0.10,False,,,ng-hide,,Askmen.com,,Rights: ,"opinion, editorial, column or essay",1000,2013
,Contract: Yes,$1.00,False,Medium reporting,Paid in 1 month ,svg-1,Platform: digital,Aps News,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,1000,2016
,Contract: Yes,$0.04,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,New York Observer,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,"opinion, editorial, column or essay",1114,2017
,Contract: ,$0.50,False,,Paid in 1 month ,svg-2,Platform: digital,New York Observer,,Rights: Other / I don't know,,1200-word,2016
,Contract: ,$0.47,False,Medium reporting,Paid in 1 month ,svg-2,Platform: digital,New York Observer,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,news story,750,2016
"""I wrote the piece - just published, not yet paid - without a contract, which they sent me after it appeared, when I went to invoice. I am told I'll be paid within 45 days of the pub date. This was for a 700 word piece for their front-of-the-book ""Transom"" section.""","Contract: Verbal or ""handshake"" agreement",$0.47,False,Medium reporting,,ng-hide,Platform: digital,New York Observer,Cold pitch (no pre-existing relationship),Rights: ,fob,~750,2015
,Contract: ,$0.28,False,,,ng-hide,,New York Observer,,Rights: ,feature,1800,2012
,Contract: Yes,$0.40,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,High Times,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,"opinion, editorial, column or essay",750,2016
,Contract: Yes,$0.50,False,Medium reporting,Paid in 2 months ,svg-1,Platform: digital,Luxe Interiors And Design Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,fob,1000,2017
,Contract: Yes,$0.47,False,Medium reporting,Paid in 2 months ,svg-2,Platform: print,Luxe Interiors And Design Magazine,Referral (you had a connection who connected you to the editor),Rights: All rights,profile or interview,1075,2017
,Contract: No,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,Murietalifestyles.com,Cold pitch (no pre-existing relationship),Rights: Secondary Rights/Reprint,news story,~750,2015
,Contract: No,$0.29,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Reset.me,Referral (you had a connection who connected you to the editor),Rights: Other / I don't know,blog post,1200,2016
"""Editor not very responsive, in different time zone apparently, but edits were great, very helpful.""",Contract: No,$0.23,False,Heavy/Investigative reporting,Paid in 6 weeks ,svg-3,Platform: digital,Reset.me,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,1300,2016
"""Paid quickly, delay in publishing, was assigned new editor.""",Contract: No,$0.03,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Reset.me,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,profile or interview,~3000,2015
,Contract: No,$1.25,False,Medium reporting,Paid in 1 month ,svg-1,Platform: print,Businessweek,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,fob,600,2017
"""Editor accepted pitch, offering $2.50/word for a 2,500 word feature. Accepted story, then killed it. Another editor there asked for a reworked version of 1,000 words and then never responded. Was ultimately paid a kill fee for the shorter piece. A miserable experience.""",Contract: Yes,$0.08,False,Heavy/Investigative reporting,,ng-hide,Platform: print,Businessweek,Cold pitch (no pre-existing relationship),Rights: All rights,feature,~3000,2015
,Contract: ,$1.75,False,,,ng-hide,Platform: print,Businessweek,,Rights: ,feature,1000,2013
"""They offered a pre-paid Visa card and put no $ on it. When contacted, they said they were looking into it but didn't respond to follow-ups. That was three months ago.""",Contract: Yes,$0.13,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Good Housekeeping,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,1200,2018
,Contract: ,$0.03,False,,Haven't gotten it yet (as of this reporting) ,svg-1,Platform: digital,The Raddington Report,,Rights: All rights,,1500-word,2017
"""The outlet refuses to pay its writers and editors.""",Contract: Yes,$0.00,False,Medium reporting,,svg-false,Platform: digital,The Raddington Report,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,feature,800,2017
,"Contract: Verbal or ""handshake"" agreement",$0.20,False,Medium reporting,Paid in 6 weeks ,svg-1,Platform: digital,For Her By Aleteia,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,1000,2016
,Contract: ,,,,,ng-hide,Platform: digital,Emusic,,Rights: ,,,2013
,Contract: No,$0.04,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Splice Today,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,"opinion, editorial, column or essay",1000,2017
,Contract: No,$0.10,False,Little to no reporting,,ng-hide,Platform: digital,Splice Today,Cold pitch (no pre-existing relationship),Rights: ,"opinion, editorial, column or essay",~750,2015
"""They only pay for print pieces, not online-only pieces.""","Contract: Verbal or ""handshake"" agreement",$0.20,False,Medium reporting,Paid in 2 months ,svg-2,Platform: digital,Relevant Magazine,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,profile or interview,1000.0,2017
,Contract: ,,,,,ng-hide,Platform: digital,Relevant Magazine,,Rights: ,,,2013
"""Site also has 1000 word, $10 articles. They give out articles to select but sometimes choice is scarce. You can submit article ideas to the site and they will let you do them if accepted. Biggest problem is publication, it can take weeks for your article to get published (although you do get paid for them even if they are not yet published).""",Contract: No,$0.01,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Worldatlas.com,Cold pitch (no pre-existing relationship),Rights: Other / I don't know,other,500,2017
"""Still waiting for payment after 100 days even though contract stated payment would be within 60 days. Had many promises but nothing yet. Heard many others had same problem.""",Contract: Yes,$0.37,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Porter & Sail,Other,Rights: All rights,profile or interview,270,2018
"""Contract stated payment would be within 60 days (which is already a long time for a freelancer to wait) but still no payment after more than 90 days.""",Contract: Yes,$0.59,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Porter & Sail,Other,Rights: All rights,profile or interview,170,2018
"""The contract between Porter & Sail and me states that payment will be made within 60 days. It's now 78 days and I have not received a cent. They also ignored my email reminder.""",Contract: Yes,$0.83,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Porter & Sail,Assignment (editor came to you),Rights: All rights,"criticism, review, or arts/entertainment coverage",120,2018
,Contract: Yes,$1.00,False,Medium reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Porter & Sail,Referral (you had a connection who connected you to the editor),Rights: All rights,blog post,1000,2017
,Contract: No,$0.03,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Introvert Dear,Cold pitch (no pre-existing relationship),Rights: All rights,"opinion, editorial, column or essay",1200,2019
,Contract: ,$30,True,,,ng-hide,Platform: print,Fugue,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$0.20,False,,Paid in 6 weeks ,svg-2,Platform: digital,Love2fly,,Rights: Other / I don't know,,500-word,2018
,Contract: Yes,$0.13,False,Little to no reporting,Haven't gotten it yet (as of this reporting) ,svg-5,Platform: digital,Love2fly,Referral (you had a connection who connected you to the editor),Rights: All rights,blog post,800,2018
,Contract: Yes,$0.15,False,Little to no reporting,Paid in 1 month ,svg-1,Platform: digital,Washington Post Express,Ongoing/pre-existing relationship with editor or publication,Rights: Other / I don't know,feature,600,2018
,Contract: Yes,$0.20,False,Medium reporting,,ng-hide,Platform: digital,Washington Post Express,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,profile or interview,~750,2013
,Contract: Yes,$1.50,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: print,Scientific American,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,feature,3000,2016
,Contract: Yes,$0.00,False,Medium reporting,,ng-hide,Platform: digital,Scientific American,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~750,2014
"""rate ""can rise""""",Contract: ,,,,,ng-hide,Platform: print,Scientific American,,Rights: ,,,2013
,Contract: ,,,,,ng-hide,,Scientific American,,Rights: ,,,2013
"""rate ""can rise""""",Contract: ,$450,True,,,ng-hide,Platform: digital,Scientific American,,Rights: ,,,2013
,Contract: ,$0.25,False,,Paid in 15 days ,svg-1,Platform: digital,Yellowstone Valley Woman Magazine,,Rights: All rights,,900-word,2017
"""Single-interview Q/A. Good editors, site is still growing.""",Contract: No,$0.04,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Psychedelic Times,Ongoing/pre-existing relationship with editor or publication,Rights: First Serial Rights,news story,2000,2017
,Contract: No,$0.08,False,Medium reporting,Paid in 15 days ,svg-1,Platform: digital,Psychedelic Times,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,news story,600,2017
"""$150 flat fee, $50 bonus if the article is posted on Upworthy's Facebook page, additional bonuses with high page views""",Contract: Yes,$0.27,False,Medium reporting,,ng-hide,Platform: digital,Upworthy,Cold pitch (no pre-existing relationship),Rights: All rights,profile or interview,~750,2016
"""Pay was originally $200 (based on the hits/views the article received 1 week after it was published.) $50 was for the article being chosen by Upworthy to share on their FB page. Payment received within a month after publication.""",Contract: Yes,$0.33,False,Heavy/Investigative reporting,,ng-hide,Platform: digital,Upworthy,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,,~750-word,2015
"""They also paid travel expenses.""",Contract: Yes,$0.07,False,Heavy/Investigative reporting,Paid in 15 days ,svg-1,Platform: digital,The Morning News,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,news story,2100,2016
,Contract: Yes,$0.05,False,Medium reporting,,ng-hide,Platform: digital,The Morning News,Solicited pitch (editor asked you to pitch),Rights: First Serial Rights,"opinion, editorial, column or essay",~3000,2014
,Contract: Yes,$0.03,False,Little to no reporting,,ng-hide,Platform: digital,The Morning News,Submission/spec (piece was written prior and then submitted for publication),Rights: First Serial Rights,"opinion, editorial, column or essay",~1500,2014
"""Flat rate for 'one time contributers'""",Contract: ,$50,True,,,ng-hide,,The Morning News,,Rights: ,,,2014
,Contract: ,$150,True,,,ng-hide,,The Morning News,,Rights: ,," opinion, editorial, column or essay",2013
,Contract: ,$50,True,,,ng-hide,,The Morning News,,Rights: ,,,2013
,Contract: Yes,$0.30,False,Little to no reporting,Paid in 15 days ,svg-1,Platform: digital,Richmond Magazine,Cold pitch (no pre-existing relationship),Rights: First Serial Rights,feature,789,2018
,Contract: Yes,$0.75,False,Medium reporting,Paid in 6 weeks ,svg-2,Platform: digital,Takepart,Ongoing/pre-existing relationship with editor or publication,Rights: All rights,feature,3000,2016
